基金代码,基金简称,风格属性
000011.OF,华夏大盘精选,平衡
070002.OF,嘉实增长,成长
260104.OF,景顺长城内需增长,平衡
100020.OF,富国天益价值,平衡
161005.OF,富国天惠精选成长A,成长
151001.OF,银河稳健,平衡
160505.OF,博时主题行业,平衡
519008.OF,汇添富优势精选,成长
260101.OF,景顺长城优选,成长
002001.OF,华夏回报A,成长
040004.OF,华安宝利配置,平衡
100022.OF,富国天瑞强势精选,成长
240001.OF,华宝宝康消费品,成长
070001.OF,嘉实成长收益A,成长
163801.OF,中银中国精选,成长
288002.OF,华夏收入,平衡
160603.OF,鹏华普天收益,成长
162203.OF,泰达宏利稳定,平衡
162703.OF,广发小盘成长A,成长
270002.OF,广发稳健增长A,平衡
163302.OF,大摩资源优选,平衡
160605.OF,鹏华中国50,成长
020003.OF,国泰金龙行业精选,成长
519688.OF,交银精选,平衡
162201.OF,泰达宏利成长,成长
090004.OF,大成精选增值,成长
002011.OF,华夏红利,平衡
180012.OF,银华富裕主题,成长
519001.OF,银华核心价值优选,平衡
162204.OF,泰达宏利行业精选,平衡
161706.OF,招商优质成长,成长
450002.OF,国富弹性市值,平衡
481001.OF,工银瑞信核心价值A,平衡
162202.OF,泰达宏利周期,平衡
257020.OF,国联安精选,成长
080001.OF,长盛成长价值,价值
090001.OF,大成价值增长,平衡
110001.OF,易方达平稳增长,成长
519087.OF,新华优选分红,成长
100026.OF,富国天合稳健优选,成长
110011.OF,易方达中小盘,成长
121002.OF,国投瑞银景气行业,平衡
340006.OF,兴全全球视野,平衡
161903.OF,万家行业优选,成长
519011.OF,海富通精选,成长
310308.OF,申万菱信盛利精选,成长
240004.OF,华宝动力组合,平衡
217001.OF,招商安泰,成长
100016.OF,富国天源沪港深,
070006.OF,嘉实服务增值行业,平衡
160106.OF,南方高增长,平衡
398001.OF,中海优质成长,成长
375010.OF,上投摩根中国优势,成长
460001.OF,华泰柏瑞盛世中国,平衡
020005.OF,国泰金马稳健回报,平衡
460005.OF,华泰柏瑞价值增长A,成长
400003.OF,东方精选,平衡
161606.OF,融通行业景气A,成长
110005.OF,易方达积极成长,成长
519668.OF,银河竞争优势成长,平衡
519069.OF,汇添富价值精选A,平衡
270005.OF,广发聚丰A,成长
519692.OF,交银成长A,成长
040005.OF,华安宏利,平衡
162607.OF,景顺长城资源垄断,成长
163804.OF,中银收益A,成长
202001.OF,南方稳健成长,平衡
510081.OF,长盛动态精选,平衡
160607.OF,鹏华价值优势,平衡
360006.OF,光大新增长,成长
000001.OF,华夏成长,平衡
255010.OF,国联安稳健,平衡
110002.OF,易方达策略成长,平衡
180001.OF,银华优势企业,平衡
180010.OF,银华优质增长,平衡
270001.OF,广发聚富,平衡
257010.OF,国联安小盘精选,平衡
519996.OF,长信银利精选,平衡
040035.OF,华安逆向策略,成长
180031.OF,银华中小盘精选,平衡
320003.OF,诺安先锋,平衡
240008.OF,华宝收益增长,价值
530001.OF,建信恒久价值,平衡
240005.OF,华宝多策略,平衡
000083.OF,汇添富消费行业,平衡
217005.OF,招商先锋,成长
288001.OF,华夏经典配置,价值
540002.OF,汇丰晋信龙腾,平衡
202003.OF,南方绩优成长A,成长
360005.OF,光大红利,平衡
519679.OF,银河主题策略,成长
050004.OF,博时精选A,平衡
163412.OF,兴全轻资产,平衡
163406.OF,兴全合润分级,成长
519068.OF,汇添富成长焦点,平衡
110009.OF,易方达价值精选,平衡
121005.OF,国投瑞银创新动力,成长
519670.OF,银河行业优选,成长
202011.OF,南方优选价值A,成长
450001.OF,国富中国收益,平衡
530003.OF,建信优选成长A,成长
162102.OF,金鹰中小盘精选,平衡
550002.OF,中信保诚精萃成长,成长
310328.OF,申万菱信新动力,平衡
070003.OF,嘉实稳健,平衡
160105.OF,南方积极配置,价值
163803.OF,中银持续增长A,价值
530006.OF,建信核心精选,平衡
161601.OF,融通新蓝筹,平衡
240009.OF,华宝先进成长,成长
519704.OF,交银先进制造,平衡
050001.OF,博时价值增长,平衡
040011.OF,华安核心优选,平衡
163415.OF,兴全商业模式优选,成长
470009.OF,汇添富民营活力A,成长
020009.OF,国泰金鹏蓝筹价值,平衡
270006.OF,广发策略优选,平衡
340007.OF,兴全社会责任,平衡
100060.OF,富国高新技术产业,成长
570008.OF,诺德周期策略,成长
320001.OF,诺安平衡,平衡
161605.OF,融通蓝筹成长,成长
090007.OF,大成策略回报,平衡
260116.OF,景顺长城核心竞争力A,成长
070013.OF,嘉实研究精选A,平衡
040025.OF,华安科技动力,平衡
519018.OF,汇添富均衡增长,成长
360001.OF,光大核心,价值
519674.OF,银河创新成长,成长
040001.OF,华安创新,平衡
070010.OF,嘉实主题精选,平衡
630002.OF,华商盛世成长,成长
217002.OF,招商安泰平衡,平衡
000021.OF,华夏优势增长,成长
519089.OF,新华优选成长,平衡
165516.OF,信诚周期轮动,成长
660015.OF,农银汇理行业轮动,平衡
590008.OF,中邮战略新兴产业,成长
110015.OF,易方达行业领先,成长
519150.OF,新华优选消费,平衡
090003.OF,大成蓝筹稳健,平衡
166009.OF,中欧新动力A,成长
398061.OF,中海消费主题精选,平衡
550003.OF,中信保诚盛世蓝筹,平衡
519979.OF,长信内需成长A,平衡
519732.OF,交银定期支付双息平衡,成长
270008.OF,广发核心精选,价值
540006.OF,汇丰晋信大盘A,平衡
370024.OF,上投摩根核心优选,成长
020023.OF,国泰事件驱动,平衡
519712.OF,交银阿尔法,成长
660001.OF,农银汇理行业成长A,平衡
270028.OF,广发制造业精选A,成长
519017.OF,大成积极成长,平衡
162207.OF,泰达宏利效率优选,成长
660012.OF,农银汇理消费主题A,成长
020010.OF,国泰金牛创新成长,平衡
519993.OF,长信增利策略,平衡
160613.OF,鹏华盛世创新,平衡
040016.OF,华安行业轮动,平衡
206009.OF,鹏华新兴产业,成长
020026.OF,国泰成长优选,成长
410001.OF,华富竞争力优选,平衡
217010.OF,招商大盘蓝筹,成长
690007.OF,民生加银景气行业A,成长
233011.OF,大摩主题优选,平衡
550001.OF,信诚四季红,价值
166801.OF,浙商聚潮新思维,成长
200006.OF,长城消费增值,成长
160918.OF,大成中小盘,平衡
270041.OF,广发消费品精选A,平衡
000017.OF,财通可持续发展主题,成长
470098.OF,汇添富逆向投资,平衡
000263.OF,工银瑞信信息产业,成长
110022.OF,易方达消费行业,成长
580001.OF,东吴嘉禾优势,成长
233007.OF,大摩卓越成长,成长
360016.OF,光大行业轮动,平衡
090018.OF,大成新锐产业,平衡
020015.OF,国泰区位优势,平衡
400007.OF,东方策略成长,平衡
090015.OF,大成内需增长A,成长
240020.OF,华宝医药生物,成长
080012.OF,长盛电子信息产业A,成长
519095.OF,新华行业周期轮换,平衡
519672.OF,银河蓝筹精选,平衡
373020.OF,上投摩根双核平衡,成长
398011.OF,中海分红增利,成长
160127.OF,南方新兴消费A,
160916.OF,大成优选,成长
519005.OF,海富通股票,成长
233001.OF,大摩基础行业,成长
000547.OF,建信健康民生,成长
399011.OF,中海医疗保健,成长
000577.OF,安信价值精选,价值
160133.OF,南方天元新产业,成长
660005.OF,农银汇理中小盘,成长
000220.OF,富国医疗保健行业,成长
290011.OF,泰信中小盘精选,平衡
