基金代码,基金名称,成立日期,基金经理,上一期,日期,区间收益率,区间波动率,Sharpe,上一期基金规模,成立年限
000001.OF,华夏成长,2001/12/18,董阳阳,2018/9/30,2018/12/31,-23.85176,21.0954,-1,42.75798085,17.0466
000011.OF,华夏大盘精选,2004/8/11,陈伟彦,2018/9/30,2018/12/31,-37.517321,27.7333,-1,35.66476828,14.3973
000017.OF,财通可持续发展主题,2013/3/27,夏钦,2018/9/30,2018/12/31,-32.946661,24.1304,-1,2.07078564,5.7671
000020.OF,景顺长城品质投资,2013/3/19,詹成,2018/9/30,2018/12/31,-25.398408,25.5054,-1,5.583299279,5.789
000021.OF,华夏优势增长,2006/11/24,郑晓辉,2018/9/30,2018/12/31,-35.841676,26.6432,-1,50.19219692,12.1096
000031.OF,华夏复兴,2007/9/10,周克平,2018/9/30,2018/12/31,-19.84197,28.3616,-1,11.60606489,11.3151
000039.OF,农银汇理低估值高增长,2013/3/26,张燕,2018/9/30,2018/12/31,-35.70034,18.341,-1,3.49230466,5.7699
000061.OF,华夏盛世精选,2009/12/11,赵航,2018/9/30,2018/12/31,-42.831007,27.8783,-1,8.972203213,9.0603
000066.OF,诺安鸿鑫,2013/5/3,宋德舜,2018/9/30,2018/12/31,3.329401,1.1099,-1,9.404495871,5.6658
000083.OF,汇添富消费行业,2013/5/3,胡昕炜,2018/9/30,2018/12/31,-45.089695,28.4012,-1,41.32216349,5.6658
000117.OF,广发轮动配置,2013/5/28,吴兴武,2018/9/30,2018/12/31,-32.183136,28.8157,-1,6.993724933,5.5973
000120.OF,中银美丽中国,2013/6/7,严菲,2018/9/30,2018/12/31,-31.343858,19.6264,-1,0.370306303,5.5699
000124.OF,华宝服务优选,2013/6/27,代云锋,2018/9/30,2018/12/31,-43.990861,24.558,-1,9.974791379,5.5151
000127.OF,农银汇理行业领先,2013/6/25,张峰,2018/9/30,2018/12/31,-37.766973,23.1844,-1,18.81093428,5.5205
000172.OF,华泰柏瑞量化增强A,2013/8/2,田汉卿,2018/9/30,2018/12/31,-42.467924,23.6277,-1,54.9475388,5.4164
000199.OF,国泰量化策略收益,2015/1/16,高崇南,2018/9/30,2018/12/31,-37.05707,20.3946,-1,0.527697229,3.9589
000209.OF,信诚新兴产业,2013/7/17,"王睿,孙浩中",2018/9/30,2018/12/31,-35.11928,20.3977,-1,0.134914481,5.4603
000220.OF,富国医疗保健行业,2013/8/7,孙笑悦,2018/9/30,2018/12/31,-41.784275,27.9706,-1,13.83525507,5.4027
000251.OF,工银瑞信金融地产A,2013/8/26,"鄢耀,王君正",2018/9/30,2018/12/31,-31.828327,24.1753,-1,22.41648305,5.3507
000263.OF,工银瑞信信息产业,2013/11/11,单文,2018/9/30,2018/12/31,-23.554909,26.7245,-1,4.43138834,5.1397
000308.OF,建信创新中国,2013/9/24,邵卓,2018/9/30,2018/12/31,-15.732588,22.2044,-1,0.859144479,5.2712
000309.OF,大摩品质生活精选,2013/10/29,"何晓春,雷志勇",2018/9/30,2018/12/31,-32.157105,29.4709,-1,4.038353982,5.1753
000327.OF,南方潜力新蓝筹,2015/5/29,吴剑毅,2018/9/30,2018/12/31,-14.303496,11.3348,-1,2.338723219,3.5945
000339.OF,长城医疗保健,2014/2/28,谭小兵,2018/9/30,2018/12/31,-37.215049,25.839,-1,1.096009218,4.8411
000409.OF,鹏华环保产业,2014/3/7,孟昊,2018/9/30,2018/12/31,-13.539008,22.5119,-1,2.482355381,4.8219
000411.OF,景顺长城优质成长,2014/1/2,徐喻军,2018/9/30,2018/12/31,-41.540629,23.6537,-1,0.826329127,4.9973
000418.OF,景顺长城成长之星,2013/12/13,"邓敬东,周寒颖",2018/9/30,2018/12/31,-36.833674,29.3817,-1,0.636628582,5.0521
000432.OF,中银优秀企业,2014/1/28,欧阳力君,2018/9/30,2018/12/31,-31.633888,18.6614,-1,0.351322436,4.926
000471.OF,富国城镇发展,2014/1/28,蒲世林,2018/9/30,2018/12/31,-44.479854,28.6826,-1,8.951391937,4.926
000522.OF,华润元大信息传媒科技,2014/3/31,"刘宏毅,李仆",2018/9/30,2018/12/31,-32.376324,28.2388,-1,0.583360552,4.7562
000524.OF,上投摩根民生需求,2014/3/14,杨景喻,2018/9/30,2018/12/31,-35.047321,30.0799,-1,1.998924335,4.8027
000532.OF,景顺长城优势企业,2014/3/19,江科宏,2018/9/30,2018/12/31,-48.752058,32.017,-1,2.731378457,4.789
000547.OF,建信健康民生,2014/3/21,姜锋,2018/9/30,2018/12/31,-31.864785,22.8387,-1,0.643648518,4.7836
000549.OF,华安大国新经济,2014/4/14,翁启森,2018/9/30,2018/12/31,-41.348883,32.2848,-1,1.58429816,4.7178
000550.OF,广发新动力,2014/3/19,刘玉,2018/9/30,2018/12/31,-45.88756,26.3949,-1,6.346938685,4.789
000551.OF,信诚幸福消费,2014/4/29,闾志刚,2018/9/30,2018/12/31,-36.994144,26.7631,-1,0.101213637,4.6767
000577.OF,安信价值精选,2014/4/21,陈一峰,2018/9/30,2018/12/31,-32.787813,23.8309,-1,45.71572713,4.6986
000589.OF,光大银发商机主题,2014/4/29,陈栋,2018/9/30,2018/12/31,-22.376219,25.727,-1,1.359191219,4.6767
000594.OF,大摩进取优选,2014/5/29,朱睿,2018/9/30,2018/12/31,-42.106564,25.6838,-1,0.463738908,4.5945
000612.OF,华宝生态中国,2014/6/13,夏林锋,2018/9/30,2018/12/31,-30.783545,31.7752,-1,5.899369104,4.5534
000628.OF,大成高新技术产业,2015/2/3,刘旭,2018/9/30,2018/12/31,-26.015888,24.1119,-1,4.145878894,3.9096
000646.OF,华润元大量化优选A,2014/8/18,李武群,2018/9/30,2018/12/31,-57.933277,28.4574,-1,0.341689702,4.3726
000688.OF,景顺长城研究精选,2014/8/12,"曾理,崔俊杰",2018/9/30,2018/12/31,-41.299549,23.6578,-1,0.568846562,4.389
000696.OF,汇添富环保行业,2014/9/16,赵剑,2018/9/30,2018/12/31,-30.192553,24.8467,-1,17.48768448,4.2932
000711.OF,嘉实医疗保健,2014/8/13,颜媛,2018/9/30,2018/12/31,-50.133675,31.735,-1,17.10583362,4.3863
000729.OF,建信中小盘,2014/8/20,"邵卓,周智硕",2018/9/30,2018/12/31,-35.803753,25.5399,-1,1.84047428,4.3671
000761.OF,国富健康优质生活,2014/9/23,王晓宁,2018/9/30,2018/12/31,-36.276351,24.7226,-1,0.097095031,4.274
000778.OF,鹏华先进制造,2014/11/4,袁航,2018/9/30,2018/12/31,-37.379461,26.8135,-1,5.577996168,4.1589
000780.OF,鹏华医疗保健,2014/9/23,郎超,2018/9/30,2018/12/31,-52.311809,28.4976,-1,11.13616584,4.274
000803.OF,工银瑞信研究精选,2014/10/23,宋炳珅,2018/9/30,2018/12/31,-40.216685,24.6655,-1,0.552365843,4.1918
000828.OF,泰达宏利转型机遇,2014/11/18,王鹏,2018/9/30,2018/12/31,-27.944871,31.629,-1,0.576079975,4.1205
000831.OF,工银瑞信医疗保健行业,2014/11/18,"赵蓓,谭冬寒",2018/9/30,2018/12/31,-50.306811,29.8412,-1,32.92251772,4.1205
000866.OF,华宝高端制造,2014/12/10,贺喆,2018/9/30,2018/12/31,-40.789709,24.779,-1,3.818570181,4.0603
000884.OF,民生加银优选,2014/12/19,高松,2018/9/30,2018/12/31,-48.320465,24.9131,-1,3.096237029,4.0356
000893.OF,工银瑞信创新动力,2014/12/11,杨鑫鑫,2018/9/30,2018/12/31,-42.940834,27.2196,-1,6.754813664,4.0575
000916.OF,前海开源股息率100强,2015/1/13,丁尧,2018/9/30,2018/12/31,-26.632894,22.5091,-1,6.298298351,3.9671
000925.OF,汇添富外延增长主题,2014/12/8,"王栩,蔡志文",2018/9/30,2018/12/31,-51.864276,30.8891,-1,28.3413209,4.0658
000945.OF,华夏医疗健康A,2015/2/2,"陈斌,王泽实",2018/9/30,2018/12/31,-57.045248,29.4984,-1,21.86457447,3.9123
000960.OF,招商医药健康产业,2015/1/30,李佳存,2018/9/30,2018/12/31,-51.409816,34.2418,-1,8.867619814,3.9205
000971.OF,诺安新经济,2015/1/26,杨琨,2018/9/30,2018/12/31,-35.727617,26.6821,-1,2.695250447,3.9315
000991.OF,工银瑞信战略转型主题,2015/2/16,杜洋,2018/9/30,2018/12/31,-31.612783,30.349,-1,7.570161852,3.874
001036.OF,嘉实企业变革,2015/2/12,谢泽林,2018/9/30,2018/12/31,-31.074786,29.3993,-1,11.07885804,3.8849
001039.OF,嘉实先进制造,2015/4/24,张淼,2018/9/30,2018/12/31,-41.841686,27.8102,-1,12.73194251,3.6904
001047.OF,光大国企改革主题,2015/3/25,林晓凤,2018/9/30,2018/12/31,-34.064736,23.6805,-1,10.33010908,3.7726
001048.OF,富国新兴产业,2015/3/12,方纬,2018/9/30,2018/12/31,-32.799186,23.4545,-1,19.88121515,3.8082
001050.OF,汇添富成长多因子量化策略,2015/2/16,"吴振翔,许一尊",2018/9/30,2018/12/31,-32.913095,25.7776,-1,10.72048452,3.874
001054.OF,工银瑞信新金融,2015/3/19,鄢耀,2018/9/30,2018/12/31,-34.05073,23.6168,-1,6.961686497,3.789
001088.OF,华宝国策导向,2015/5/8,丁靖斐,2018/9/30,2018/12/31,-35.520379,25.5228,-1,7.537723844,3.6521
001097.OF,华泰柏瑞积极优选,2015/3/26,杜聪,2018/9/30,2018/12/31,-49.555183,23.6583,-1,2.954899923,3.7699
001104.OF,华安新丝路主题,2015/4/9,谢昌旭,2018/9/30,2018/12/31,-26.95877,20.696,-1,13.16667411,3.7315
001158.OF,工银瑞信新材料新能源行业,2015/4/28,张剑峰,2018/9/30,2018/12/31,-46.365447,22.8981,-1,18.97658723,3.6795
001162.OF,前海开源优势蓝筹A,2015/4/28,肖立强,2018/9/30,2018/12/31,-46.40604,25.7696,-1,0.322151568,3.6795
001167.OF,金鹰科技创新,2015/4/30,乔春,2018/9/30,2018/12/31,-52.26101,30.7001,-1,6.750374606,3.674
001178.OF,前海开源再融资主题精选,2015/5/18,邱杰,2018/9/30,2018/12/31,-24.941581,27.7383,-1,7.008900194,3.6247
001186.OF,富国文体健康,2015/5/6,林庆,2018/9/30,2018/12/31,-40.898242,25.9309,-1,13.73472339,3.6575
001188.OF,鹏华改革红利,2015/4/28,"袁航,郭盈",2018/9/30,2018/12/31,-25.639752,25.798,-1,12.76712867,3.6795
001193.OF,中金消费升级,2015/6/24,闫鑫,2018/9/30,2018/12/31,-40.339144,27.7318,-1,1.552442704,3.5233
001195.OF,工银瑞信农业产业,2015/5/26,杨柯,2018/9/30,2018/12/31,-42.200581,24.6951,-1,7.163786913,3.6027
001223.OF,鹏华文化传媒娱乐,2016/1/27,贺宁,2018/9/30,2018/12/31,-21.574939,28.3828,-1,0.853063202,2.9288
001230.OF,鹏华医药科技,2015/6/2,金笑非,2018/9/30,2018/12/31,-56.103668,29.9503,-1,13.41109023,3.5836
001236.OF,博时丝路主题A,2015/5/22,沙炜,2018/9/30,2018/12/31,-30.493656,23.136,-1,10.48449662,3.6137
001245.OF,工银瑞信生态环境,2015/6/2,"何肖颉,闫思倩",2018/9/30,2018/12/31,-39.046344,23.8511,-1,8.900651832,3.5836
