基金代码,基金名称,重仓股代码,重仓股比例_x,重仓股比例_y,仓位变化,日期
000001.OF,华夏成长,300232.SZ,5.9989,6.0898,0.0909,2019/12/31
000001.OF,华夏成长,000338.SZ,0,3.6526,3.6526,2019/12/31
000001.OF,华夏成长,000661.SZ,0,3.2536,3.2536,2019/12/31
000001.OF,华夏成长,002475.SZ,0,2.4429,2.4429,2019/12/31
000001.OF,华夏成长,000961.SZ,0,2.3261,2.3261,2019/12/31
000001.OF,华夏成长,300782.SZ,0,2.307,2.307,2019/12/31
000001.OF,华夏成长,300226.SZ,0,4.2104,4.2104,2019/12/31
000001.OF,华夏成长,601668.SH,2.627,0,-2.627,2019/12/31
000001.OF,华夏成长,600048.SH,0,6.6107,6.6107,2019/12/31
000001.OF,华夏成长,600519.SH,2.8531,0,-2.8531,2019/12/31
000001.OF,华夏成长,002384.SZ,3.6901,5.0433,1.3532,2019/12/31
000001.OF,华夏成长,000858.SZ,4.2814,0,-4.2814,2019/12/31
000001.OF,华夏成长,300383.SZ,4.8575,0,-4.8575,2019/12/31
000001.OF,华夏成长,601318.SH,5.9065,0,-5.9065,2019/12/31
000001.OF,华夏成长,601186.SH,2.6942,0,-2.6942,2019/12/31
000001.OF,华夏成长,600867.SH,3.4565,0,-3.4565,2019/12/31
000001.OF,华夏成长,002127.SZ,3.0941,3.2584,0.1643,2019/12/31
000006.OF,西部利得量化成长,603369.SH,0.7229,0,-0.7229,2019/12/31
000006.OF,西部利得量化成长,600600.SH,0.874,0,-0.874,2019/12/31
000006.OF,西部利得量化成长,688008.SH,0.8434,0.8816,0.0382,2019/12/31
000006.OF,西部利得量化成长,600015.SH,0.8396,0,-0.8396,2019/12/31
000006.OF,西部利得量化成长,002926.SZ,0.7758,0,-0.7758,2019/12/31
000006.OF,西部利得量化成长,002353.SZ,0,0.8649,0.8649,2019/12/31
000006.OF,西部利得量化成长,002152.SZ,0,0.8554,0.8554,2019/12/31
000006.OF,西部利得量化成长,688012.SH,0,0.8383,0.8383,2019/12/31
