stock,start_date,end_date,yield,volatility,idiosyncratic_volatility
000001.SZ,2019/9/30,2019/12/31,14.6969,25.3262,0.0131
000001.SZ,2019/12/31,2020/3/31,-66.5076,40.2072,0.0123
000001.SZ,2020/3/31,2020/6/30,2.6126,23.1029,0.0129
000001.SZ,2020/6/30,2020/9/30,88.4873,39.1774,0.0175
000002.SZ,2019/9/30,2019/12/31,136.2862,23.9817,0.0136
000002.SZ,2019/12/31,2020/3/31,-58.5188,42.3166,0.0199
000002.SZ,2020/3/31,2020/6/30,1.6099,22.6622,0.0132
000002.SZ,2020/6/30,2020/9/30,53.1415,32.98,0.0164
000006.SZ,2019/9/30,2019/12/31,22.2011,16.8026,0.0077
000006.SZ,2019/12/31,2020/3/31,-51.7213,34.8187,0.0130
000006.SZ,2020/3/31,2020/6/30,531.0914,38.3347,0.0243
000006.SZ,2020/6/30,2020/9/30,-8.7632,66.4336,0.0363
000009.SZ,2019/9/30,2019/12/31,261.7259,40.0616,0.0237
000009.SZ,2019/12/31,2020/3/31,-23.8235,72.9975,0.0351
000009.SZ,2020/3/31,2020/6/30,350.4486,44.0205,0.0249
000009.SZ,2020/6/30,2020/9/30,-40.8989,53.4342,0.0300
000011.SZ,2019/9/30,2019/12/31,-13.3352,20.5452,0.0102
000011.SZ,2019/12/31,2020/3/31,-40.6813,36.3943,0.0171
000011.SZ,2020/3/31,2020/6/30,1915.8,62.7223,0.0396
000011.SZ,2020/6/30,2020/9/30,85.7015,87.8357,0.0527
000012.SZ,2019/9/30,2019/12/31,92.3023,25.5791,0.0117
000012.SZ,2019/12/31,2020/3/31,-44.7593,60.7564,0.0303
000012.SZ,2020/3/31,2020/6/30,69.9571,26.7744,0.0133
000012.SZ,2020/6/30,2020/9/30,64.2201,46.4504,0.0237
000014.SZ,2019/9/30,2019/12/31,-9.3718,20.2209,0.0100
000014.SZ,2019/12/31,2020/3/31,-51.3616,36.8979,0.0156
000014.SZ,2020/3/31,2020/6/30,286.5497,35.1714,0.0223
000014.SZ,2020/6/30,2020/9/30,-6.8045,63.5935,0.0350
000021.SZ,2019/9/30,2019/12/31,36.2788,47.0246,0.0246
000021.SZ,2019/12/31,2020/3/31,281.4933,82.9553,0.0443
000021.SZ,2020/3/31,2020/6/30,114.7501,66.3863,0.0401
000021.SZ,2020/6/30,2020/9/30,-32.9075,59.4026,0.0291
000026.SZ,2019/9/30,2019/12/31,298.6872,61.2682,0.0375
000026.SZ,2019/12/31,2020/3/31,-65.3124,52.7054,0.0215
000026.SZ,2020/3/31,2020/6/30,21.6324,36.6885,0.0222
000026.SZ,2020/6/30,2020/9/30,1047.94,71.1887,0.0407
000028.SZ,2019/9/30,2019/12/31,20.276,29.5072,0.0183
000028.SZ,2019/12/31,2020/3/31,-43.9569,34.6237,0.0170
000028.SZ,2020/3/31,2020/6/30,73.8943,38.5865,0.0240
000028.SZ,2020/6/30,2020/9/30,8.9569,50.1091,0.0272
000030.SZ,2019/9/30,2019/12/31,6.1559,15.9233,0.0094
000030.SZ,2019/12/31,2020/3/31,78.476,66.3102,0.0348
000030.SZ,2020/3/31,2020/6/30,186.7739,60.6991,0.0358
000030.SZ,2020/6/30,2020/9/30,38.4273,56.7091,0.0321
000031.SZ,2019/9/30,2019/12/31,31.3881,31.4222,0.0176
000031.SZ,2019/12/31,2020/3/31,-70.5633,41.3206,0.0192
000031.SZ,2020/3/31,2020/6/30,-27.5876,19.4869,0.0095
000031.SZ,2020/6/30,2020/9/30,-16.1258,34.6602,0.0156
000032.SZ,2019/9/30,2019/12/31,129.9954,33.5039,0.0197
000032.SZ,2019/12/31,2020/3/31,4.2116,69.7481,0.0366
000032.SZ,2020/3/31,2020/6/30,409.1881,46.7236,0.0290
000032.SZ,2020/6/30,2020/9/30,-4.2002,57.5018,0.0321
000034.SZ,2019/9/30,2019/12/31,125.2105,52.0237,0.0309
000034.SZ,2019/12/31,2020/3/31,155.472,81.4328,0.0448
000034.SZ,2020/3/31,2020/6/30,-3.7249,53.9098,0.0269
000034.SZ,2020/6/30,2020/9/30,17.8987,55.7303,0.0323
000035.SZ,2019/9/30,2019/12/31,25.6784,34.8559,0.0214
000035.SZ,2019/12/31,2020/3/31,-68.7641,43.4942,0.0193
000035.SZ,2020/3/31,2020/6/30,49.608,24.7446,0.0147
000035.SZ,2020/6/30,2020/9/30,-25.2262,28.4983,0.0136
000036.SZ,2019/9/30,2019/12/31,17.6174,20.1926,0.0098
000036.SZ,2019/12/31,2020/3/31,-61.4441,35.2965,0.0137
000036.SZ,2020/3/31,2020/6/30,185.7222,26.262,0.0153
000036.SZ,2020/6/30,2020/9/30,9.3776,36.8957,0.0202
000049.SZ,2019/9/30,2019/12/31,-5.3561,45.223,0.0239
000049.SZ,2019/12/31,2020/3/31,-52.9457,56.3043,0.0248
000049.SZ,2020/3/31,2020/6/30,385.317,51.7551,0.0306
000049.SZ,2020/6/30,2020/9/30,4.0698,40.1048,0.0206
000050.SZ,2019/9/30,2019/12/31,80.5346,29.9819,0.0165
000050.SZ,2019/12/31,2020/3/31,-57.0235,47.9707,0.0183
000050.SZ,2020/3/31,2020/6/30,78.2817,28.4645,0.0132
000050.SZ,2020/6/30,2020/9/30,-7.4577,37.9245,0.0172
000056.SZ,2019/9/30,2019/12/31,-38.4758,36.1699,0.0208
000056.SZ,2019/12/31,2020/3/31,-59.9543,39.9878,0.0131
000056.SZ,2020/3/31,2020/6/30,93.4537,33.9538,0.0201
000056.SZ,2020/6/30,2020/9/30,-43.4642,34.5567,0.0184
000060.SZ,2019/9/30,2019/12/31,24.8149,17.7554,0.0081
000060.SZ,2019/12/31,2020/3/31,-56.8059,33.5188,0.0085
000060.SZ,2020/3/31,2020/6/30,33.4385,20.039,0.0107
000060.SZ,2020/6/30,2020/9/30,45.2036,41.6418,0.0154
000063.SZ,2019/9/30,2019/12/31,29.3793,26.5106,0.0147
000063.SZ,2019/12/31,2020/3/31,153.9412,69.2847,0.0354
000063.SZ,2020/3/31,2020/6/30,-23.0909,39.9391,0.0187
000063.SZ,2020/6/30,2020/9/30,-45.744,37.0148,0.0153
000066.SZ,2019/9/30,2019/12/31,82.6892,56.1684,0.0327
000066.SZ,2019/12/31,2020/3/31,-67.7043,59.6417,0.0269
000066.SZ,2020/3/31,2020/6/30,47.7257,44.6778,0.0228
000066.SZ,2020/6/30,2020/9/30,141.5592,60.0481,0.0269
000069.SZ,2019/9/30,2019/12/31,45.3502,19.6412,0.0099
000069.SZ,2019/12/31,2020/3/31,-56.5688,41.3785,0.0154
000069.SZ,2020/3/31,2020/6/30,-7.3109,20.3813,0.0112
000069.SZ,2020/6/30,2020/9/30,53.9169,44.795,0.0209
000089.SZ,2019/9/30,2019/12/31,-38.0065,20.8161,0.0120
000089.SZ,2019/12/31,2020/3/31,-64.5728,37.4514,0.0123
000089.SZ,2020/3/31,2020/6/30,5.3424,22.5734,0.0127
000089.SZ,2020/6/30,2020/9/30,55.2762,53.7338,0.0281
000100.SZ,2019/9/30,2019/12/31,126.4112,37.1454,0.0217
000100.SZ,2019/12/31,2020/3/31,-27.056,73.5907,0.0346
000100.SZ,2020/3/31,2020/6/30,416.4123,49.2611,0.0265
000100.SZ,2020/6/30,2020/9/30,-0.6044,50.7262,0.0250
000157.SZ,2019/9/30,2019/12/31,90.9431,24.3656,0.0140
000157.SZ,2019/12/31,2020/3/31,-45.9782,45.027,0.0184
000157.SZ,2020/3/31,2020/6/30,37.1996,29.6718,0.0156
000157.SZ,2020/6/30,2020/9/30,170.7521,39.1937,0.0200
000166.SZ,2019/9/30,2019/12/31,28.6396,17.7281,0.0071
000166.SZ,2019/12/31,2020/3/31,-47.7464,35.2568,0.0092
000166.SZ,2020/3/31,2020/6/30,75.8814,24.5711,0.0128
000166.SZ,2020/6/30,2020/9/30,52.2554,47.0721,0.0179
0002.HK,2019/9/30,2019/12/31,0.6972,12.7404,0.0072
0002.HK,2019/12/31,2020/3/31,-40.8906,27.8411,0.0161
0002.HK,2020/3/31,2020/6/30,43.115,23.3899,0.0114
0002.HK,2020/6/30,2020/9/30,-13.7835,13.9182,0.0088
000333.SZ,2019/9/30,2019/12/31,66.6524,23.369,0.0129
000333.SZ,2019/12/31,2020/3/31,-54.2385,39.1355,0.0140
000333.SZ,2020/3/31,2020/6/30,176.895,22.4903,0.0119
000333.SZ,2020/6/30,2020/9/30,104.2921,34.1451,0.0175
000338.SZ,2019/9/30,2019/12/31,310.8222,32.7862,0.0178
000338.SZ,2019/12/31,2020/3/31,-67.9995,52.2563,0.0202
000338.SZ,2020/3/31,2020/6/30,71.7366,29.178,0.0153
000338.SZ,2020/6/30,2020/9/30,56.4385,38.8906,0.0193
000401.SZ,2019/9/30,2019/12/31,52.8944,33.5611,0.0170
000401.SZ,2019/12/31,2020/3/31,102.6051,50.9823,0.0259
000401.SZ,2020/3/31,2020/6/30,-55.4907,31.7119,0.0168
000401.SZ,2020/6/30,2020/9/30,-12.1927,35.5589,0.0156
000402.SZ,2019/9/30,2019/12/31,32.6854,18.6662,0.0097
000402.SZ,2019/12/31,2020/3/31,-59.1799,30.5767,0.0094
000402.SZ,2020/3/31,2020/6/30,1.9047,17.1394,0.0091
000402.SZ,2020/6/30,2020/9/30,13.707,28.3843,0.0116
000403.SZ,2019/9/30,2019/12/31,-0.4978,31.6074,0.0187
000403.SZ,2019/12/31,2020/3/31,115.0706,51.1385,0.0286
000403.SZ,2020/3/31,2020/6/30,1382.67,50.7643,0.0312
000403.SZ,2020/6/30,2020/9/30,-47.5651,48.8926,0.0294
000413.SZ,2019/9/30,2019/12/31,-89.0104,52.1727,0.0323
000413.SZ,2019/12/31,2020/3/31,-41.1602,63.6498,0.0322
000413.SZ,2020/3/31,2020/6/30,-40.1449,34.5354,0.0188
000413.SZ,2020/6/30,2020/9/30,62.573,46.5115,0.0254
000423.SZ,2019/9/30,2019/12/31,82.9319,25.2373,0.0158
000423.SZ,2019/12/31,2020/3/31,-72.5397,39.0521,0.0167
000423.SZ,2020/3/31,2020/6/30,293.8897,43.0322,0.0265
000423.SZ,2020/6/30,2020/9/30,48.518,43.0566,0.0232
000425.SZ,2019/9/30,2019/12/31,123.6837,24.5953,0.0143
000425.SZ,2019/12/31,2020/3/31,-29.267,47.9683,0.0190
